종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"052260","현대바이오랜드","KOSDAQ","화학","9890","10","0.10","148350000000"
"041440","현대에버다임","KOSDAQ","기계·장비","6210","100","1.64","111258012240"
"039010","현대에이치티","KOSDAQ","통신장비","5740","60","1.06","49507500000"
"090850","현대이지웰","KOSDAQ","기타서비스","6080","170","2.88","144377874880"
"092300","현우산업","KOSDAQ","IT부품","4290","10","0.23","80106380640"
"138360","협진","KOSDAQ","기계·장비","1300","-54","-3.99","44995579200"
"011080","형지I&C","KOSDAQ","섬유·의류","915","-3","-0.33","23335577145"
"060560","홈센타홀딩스","KOSDAQ","유통","1293","90","7.48","165076695825"
"064240","홈캐스트","KOSDAQ","통신장비","4830","40","0.84","169233597960"
"039610","화성밸브","KOSDAQ","기계·장비","5510","20","0.36","57361304000"
"126640","화신정공","KOSDAQ","운송장비·부품","1698","29","1.74","61762860126"
"127980","화인써키트","KOSDAQ","반도체","8040","150","1.90","95199099360"
"061250","화일약품","KOSDAQ","제약","2015","16","0.80","134063644390"
"097870","효성오앤비","KOSDAQ","화학","7250","50","0.69","61552500000"
"290270","휴네시온","KOSDAQ","소프트웨어","4095","130","3.28","39343416840"
"353190","휴럼","KOSDAQ","음식료·담배","1093","-4","-0.36","43040613060"
"192410","휴림네트웍스","KOSDAQ","통신장비","439","-9","-2.01","47761602040"
"090710","휴림로봇","KOSDAQ","기계·장비","1425","40","2.89","252204673800"
"078590","휴림에이텍","KOSDAQ","운송장비·부품","646","82","14.54","85922494868"
"205470","휴마시스","KOSDAQ","제약","2110","50","2.43","272981268990"
"115160","휴맥스","KOSDAQ","통신장비","2960","0","0.00","130151567040"
"028080","휴맥스홀딩스","KOSDAQ","컴퓨터서비스","4705","5","0.11","59177165730"
"200670","휴메딕스","KOSDAQ","제약","32800","-100","-0.30","365497517600"
"065510","휴비츠","KOSDAQ","의료·정밀기기","14850","-80","-0.54","180225109350"
"215090","휴센텍","KOSDAQ","의료·정밀기기","1505","0","0.00","120843123170"
"263920","휴엠앤씨","KOSDAQ","기타제조","1211","-4","-0.33","59393657274"
"243070","휴온스","KOSDAQ","제약","38950","450","1.17","466607951750"
"084110","휴온스글로벌","KOSDAQ","제약","22150","150","0.68","279566047800"
"145020","휴젤","KOSDAQ","제약","149800","1800","1.22","1855341159000"
"024060","흥구석유","KOSDAQ","유통","8710","340","4.06","130650000000"
"010240","흥국","KOSDAQ","기계·장비","5900","50","0.85","72703906400"
"189980","흥국에프엔비","KOSDAQ","음식료·담배","2090","40","1.95","83888058430"
"037440","희림","KOSDAQ","기타서비스","8280","220","2.73","115278093000"
"238490","힘스","KOSDAQ","반도체","6580","100","1.54","74434512880"
